smiles,name
COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,Erlotinib
COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,Gefitinib
CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,Lapatinib
CN1C=C(C2=CC=CC=C21)C3=NC(=NC=C3)NC4=C(C=C(C(=C4)NC(=O)C=C)N(C)CCN(C)C)OC,Osimertinib
CC(=O)Nc1ccc(O)cc1,Paracetamol
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen
Cc1ccc(cc1)C(=O)O,2-Methylbenzoic_acid
c1ccc(cc1)N,Aniline
CN1CCC[C@H]1c2cccnc2,Nicotine
c1ccc(cc1)C(=O)O,Benzoic_acid
CC(=O)c1ccccc1,Acetophenone
Cc1ccccc1,Toluene
c1ccc(O)cc1,Phenol
Nc1ccccc1,Aniline_2
CC(C)c1ccc(cc1)N,Isopropenylaniline
COc1ccc(cc1),Anisole
CC(C)Nc1ccc(O)cc1,4-Isopropylaminophenol
CC(C)c1ccccc1,Isopropylbenzene
CC(C)(C)c1ccccc1,tert-Butylbenzene
c1ccc(cc1)c2ccccc2,Biphenyl
Cc1ccc(cc1)c2ccccc2,Methylbiphenyl
CC(C)c1ccc(cc1)C(=O)O,2-Isopropylbenzoic_acid
Cc1ccc(O)cc1,4-Methylphenol
Nc1ccc(O)cc1,4-Aminophenol
CC(C)Oc1ccccc1,Isopropyloxybenzene
c1ccc(Cl)cc1,Chlorobenzene
