smiles,standard_value,molecule_id
COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,2.1,Erlotinib_CHEMBL20_Reference
CCOc1ccc2nc(Nc3ccccc3C#C)cc(c2c1)OCC,8.5,Erlotinib_Analog_Naphthyl
COCc1ccc2nc(Nc3ccccc3C#C)cc(c2c1)OCCOC,4.3,Erlotinib_Analog_Methoxy
COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,26.0,Gefitinib_CHEMBL222_Reference
COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)F)OCCCN4CCOCC4,67.3,Gefitinib_Analog_DifluoroPhenyl
COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=CC=C3)Cl)OCCOC,89.5,Gefitinib_Analog_MonoChloro
CC(C)Nc1c(Cl)cc(cc1Nc2c(I)cc(N3CCOCC3)cc2)NC(=O)C,0.1,Afatinib_CHEMBL261_Reference
CC(C)Nc1c(Cl)cc(cc1Nc2c(Br)cc(N3CCOCC3)cc2)NC(=O)C,0.28,Afatinib_Analog_BromoSubst
CC(C)Nc1c(Cl)cc(cc1Nc2c(C)cc(N3CCOCC3)cc2)NC(=O)C,0.45,Afatinib_Analog_Demethyl
Cc1ccc2c(c1)nc(Nc3ccc(F)cc3Cl)cc2N4CCOC(=O)C4,3.5,Dacomitinib_CHEMBL398857_Reference
Cc1ccc2c(c1)nc(Nc3ccc(F)cc3Br)cc2N4CCOC(=O)C4,12.2,Dacomitinib_Analog_BromoVar
Cc1ccc2c(c1)nc(Nc3ccc(Cl)cc3Cl)cc2N4CCOC(=O)C4,18.5,Dacomitinib_Analog_DiChloro
CC(C)c1ccc(Nc2nccc(n2)C(=O)c3ccccc3)cc1,8.9,Neratinib_CHEMBL261342_Reference
CC(C)c1ccc(Nc2nccc(n2)C(=O)c3ccc(F)cc3)cc1,22.1,Neratinib_Analog_FluoroBenz
